bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
ROCK1A,0.0,0.0,0.0,0.0,351849.0799201264,380068.72145800584
ROCH4A,0.0,0.0,0.0,0.0,385845.8309846409,413923.4351264055
ROCH21,0.0,0.0,0.0,0.0,385845.8309846409,413923.4351264055
ROCH12,0.0,0.0,0.0,0.0,385845.8309846409,413923.4351264055
ROCH11,0.0,0.0,0.0,0.0,385845.8309846409,413923.4351264055
RICH41,0.0,0.0,0.0,0.0,633291.5563670533,161939.27628174843
RICH11,0.0,0.0,0.0,0.0,633291.5563670533,161939.27628174843
RHIG41,0.0,0.0,0.0,0.0,293228.33189363754,206500.5811757882
REDM3-,0.0,0.0,0.0,0.0,394551.01781837974,801946.3727643902
REDM1R,0.0,0.0,0.0,0.0,394551.01781837974,801946.3727643902
REDM1Q,0.0,0.0,0.0,0.0,394551.01781837974,801946.3727643902
REDH3-,0.0,0.0,0.0,0.0,328768.96588957205,695330.5411250712
ALNE3J,0.0,0.0,0.0,0.0,264592.1508586975,870979.3480448452
REBR32,0.0,0.0,0.0,0.0,541698.026972367,189799.7138289584
REBR31,0.0,0.0,0.0,0.0,541698.026972367,189799.7138289584
REBR22,0.0,0.0,0.0,0.0,541698.026972367,189799.7138289584
REBR21,0.0,0.0,0.0,0.0,541698.026972367,189799.7138289584
RAYM11,0.0,0.0,0.0,0.0,578008.5860883596,191435.0785988163
RAYL41,0.0,0.0,0.0,0.0,578008.5860883596,191435.0785988163
RAVE3T,0.0,0.0,0.0,0.0,279076.32558083173,653998.4440598642
RAVE3S,0.0,0.0,0.0,0.0,279076.32558083173,653998.4440598642
RATS41,0.0,0.0,0.0,0.0,450407.4729800618,329794.1886459553
RATS2A,0.0,0.0,0.0,0.0,450407.4729800618,329794.1886459553
RATS12,0.0,0.0,0.0,0.0,450407.4729800618,329794.1886459553
PUDM41,0.0,0.0,0.0,0.0,537876.3687464283,183527.9617114109
PRST3A,0.0,0.0,0.0,0.0,295240.4298290649,617388.0676448523
PORH11,0.0,0.0,0.0,0.0,381768.6562132569,219261.779333236
PORD3-,0.0,0.0,0.0,0.0,259082.0101030398,666737.3664787071
PENT11,0.0,0.0,0.0,0.0,255800.86673668885,367722.81870269374
PENN4B,0.0,0.0,0.0,0.0,385971.3526594753,295423.77480089327
PENN4A,0.0,0.0,0.0,0.0,385971.3526594753,295423.77480089327
PENN21,0.0,0.0,0.0,0.0,385971.3526594753,295423.77480089327
PENN11,0.0,0.0,0.0,0.0,385971.3526594753,295423.77480089327
PENE11,0.0,0.0,0.0,0.0,350296.3521208887,427811.08928629546
PEMB11,0.0,0.0,0.0,0.0,193589.04268229604,202380.66225742077
PELH41,0.0,0.0,0.0,0.0,545619.8745598963,228407.54769215942
PELH12,0.0,0.0,0.0,0.0,545619.8745598963,228407.54769215942
PELH11,0.0,0.0,0.0,0.0,545619.8745598963,228407.54769215942
PEHS5-,0.0,0.0,0.0,0.0,413024.8599174226,846433.601134365
ALVE11,0.0,0.0,0.0,0.0,250135.03434795418,125098.29423627807
PEHG1R,0.0,0.0,0.0,0.0,413035.68498531723,846062.1336357913
PEHG1Q,0.0,0.0,0.0,0.0,413035.68498531723,846062.1336357913
PEHERSV2,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
PEHERSV1,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
PEHEMEC6,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
PEHEMEC5,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
